prodgroup3,dlcp,sdd_sequence,operation,wip,yield,shipout,commit1,commit2,qtg1,qtg2,qps1,qps2,stg1,stg2
ARLS681,FF,250,2978,0.0,1.0,46.355,116.401,98.486,16.432,120.058,4.213,6.707,3.9,17.9
ARLS681,FF,260,4992,1.47,1.0,46.355,116.401,98.486,17.902,121.528,4.59,6.789,3.9,17.9
ARLS681,FF,270,265,0.0,1.0,46.355,116.401,98.486,17.902,121.528,4.366,6.714,4.1,18.1
ARLS681,FF,280,2172,4.409,1.0,46.355,116.401,98.486,22.311,125.937,5.071,6.844,4.4,18.4
ARLS681,FF,290,4513,0.0,1.0,46.355,116.401,98.486,22.311,125.937,4.958,6.807,4.5,18.5
ARLS681,FF,300,5001,0.0,1.0,46.355,116.401,98.486,22.311,125.937,4.958,6.807,4.5,18.5
ARLS681,FF,310,11,0.0,1.0,46.355,116.401,98.486,22.311,125.937,4.85,6.771,4.6,18.6
ARLS681,FF,320,7820,2.936,1.0,46.355,116.401,98.486,25.247,128.873,4.008,6.348,6.3,20.3
ARLS681,FF,330,7821,0.0,1.0,46.355,116.401,98.486,25.247,128.873,4.008,6.348,6.3,20.3
ARLS681,FF,340,7827,0.0,1.0,46.355,116.401,98.486,25.247,128.873,4.008,6.348,6.3,20.3
ARLS681,FF,350,7060,0.0,1.0,46.355,116.401,98.486,25.247,128.873,4.008,6.348,6.3,20.3
ARLS681,FF,360,8585,0.0,1.0,46.355,116.401,98.486,25.247,128.873,3.945,6.317,6.4,20.4
ARLS681,FF,370,8785,0.0,1.0,46.355,116.401,98.486,25.247,128.873,3.945,6.317,6.4,20.4
ARLS681,FF,380,8780,0.0,1.0,46.355,116.401,98.486,25.247,128.873,3.945,6.317,6.4,20.4
ARLS681,FF,390,8832,0.0,1.0,46.355,116.401,98.486,25.247,128.873,3.884,6.286,6.5,20.5
ARLS681,FF,400,7571,2.932,0.96,46.355,116.401,98.486,28.179,131.805,4.144,6.337,6.8,20.8
ARLS681,FF,410,7200,0.0,1.0,46.355,116.401,98.486,27.052,126.533,3.865,6.025,7.0,21.0
ARLS681,FF,420,3777,0.0,1.0,46.355,116.401,98.486,27.052,126.533,3.865,6.025,7.0,21.0
ARLS681,FF,430,7290,23.432,1.0,46.355,116.401,98.486,50.484,149.965,7.212,7.141,7.0,21.0
ARLS681,FF,440,488,0.0,1.0,46.355,116.401,98.486,50.484,149.965,7.212,7.141,7.0,21.0
ARLS681,FF,450,5006,0.0,1.0,46.355,116.401,98.486,50.484,149.965,7.212,7.141,7.0,21.0
ARLS681,FF,460,6970,8.93,0.99,46.355,116.401,98.486,59.414,158.895,7.617,7.289,7.8,21.8
ARLS681,FF,470,7899,0.0,1.0,46.355,116.401,98.486,58.82,157.306,7.541,7.216,7.8,21.8
ARLS681,FF,480,7295,0.0,1.0,46.355,116.401,98.486,58.82,157.306,7.541,7.216,7.8,21.8
ARLS681,FF,490,7297,0.0,1.0,46.355,116.401,98.486,58.82,157.306,7.541,7.216,7.8,21.8
ARLS681,FF,500,6274,0.0,1.0,46.355,116.401,98.486,58.82,157.306,7.541,7.216,7.8,21.8
ARLS681,FF,510,6275,0.0,1.0,46.355,116.401,98.486,58.82,157.306,7.541,7.216,7.8,21.8
ARLS681,FF,520,6676,0.0,1.0,46.355,116.401,98.486,58.82,157.306,7.446,7.183,7.9,21.9
ARLS681,FF,530,7300,3.618,1.0,46.355,116.401,98.486,62.438,160.924,7.523,7.216,8.3,22.3
ARLS681,FF,540,1007,1.351,1.0,46.355,116.401,98.486,63.789,162.275,7.594,7.244,8.4,22.4
ARLS681,FF,550,6547,0.0,1.0,46.355,116.401,98.486,63.789,162.275,7.594,7.244,8.4,22.4
ARLS681,FF,560,8792,0.0,1.0,46.355,116.401,98.486,63.789,162.275,7.594,7.244,8.4,22.4
ARLS681,FF,570,7333,0.0,1.0,46.355,116.401,98.486,63.789,162.275,7.594,7.244,8.4,22.4
ARLS681,FF,580,7417,0.0,1.0,46.355,116.401,98.486,63.789,162.275,7.594,7.244,8.4,22.4
ARLS681,FF,590,7226,0.0,1.0,46.355,116.401,98.486,63.789,162.275,7.505,7.212,8.5,22.5
ARLS681,FF,600,7000,0.0,1.0,46.355,116.401,98.486,63.789,162.275,7.505,7.212,8.5,22.5
ARLS681,FF,610,7472,1.367,1.0,46.355,116.401,98.486,65.156,163.642,7.576,7.241,8.6,22.6
ARLS681,FF,620,8581,0.0,1.0,46.355,116.401,98.486,65.156,163.642,7.576,7.241,8.6,22.6
ARLS681,FF,630,7354,0.0,1.0,46.355,116.401,98.486,65.156,163.642,7.576,7.241,8.6,22.6
ARLS681,FF,640,7475,2.634,1.0,46.355,116.401,98.486,67.79,166.276,7.792,7.325,8.7,22.7
ARLS681,FF,650,7345,0.0,1.0,46.355,116.401,98.486,67.79,166.276,7.792,7.325,8.7,22.7
ARLS681,FF,660,7399,2.256,1.0,46.355,116.401,98.486,70.046,168.532,7.96,7.392,8.8,22.8
ARLS816L,FF,10,1209,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.65,-0.4,13.6
ARLS816L,FF,20,1204,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.641,-0.2,13.8
ARLS816L,FF,30,5651,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.636,-0.1,13.9
ARLS816L,FF,40,2004,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.627,0.1,14.1
ARLS816L,FF,50,1225,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.614,0.4,14.4
ARLS816L,FF,60,1253,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.614,0.4,14.4
ARLS816L,FF,70,1299,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.67,-0.8,13.2
ARLS816L,FF,80,1987,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.606,0.6,14.6
ARLS816L,FF,90,2135,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.594,0.9,14.9
ARLS816L,FF,100,730,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-16.597,0.59,1.0,15.0
ARLS816L,FF,110,1429,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-15.088,0.586,1.1,15.1
ARLS816L,FF,120,970,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-11.855,0.574,1.4,15.4
ARLS816L,FF,130,1430,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-10.373,0.567,1.6,15.6
ARLS816L,FF,140,1237,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-9.763,0.563,1.7,15.7
ARLS816L,FF,150,2237,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-9.763,0.563,1.7,15.7
ARLS816L,FF,160,5653,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-8.735,0.556,1.9,15.9
ARLS816L,FF,170,2171,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-7.544,0.546,2.2,16.2
ARLS816L,FF,180,2176,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-7.544,0.546,2.2,16.2
ARLS816L,FF,190,2151,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-6.915,0.539,2.4,16.4
ARLS816L,FF,200,9668,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-6.639,0.536,2.5,16.5
ARLS816L,FF,210,2150,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-5.723,0.523,2.9,16.9
ARLS816L,FF,220,2090,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-5.187,0.514,3.2,17.2
ARLS816L,FF,230,1264,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-5.029,0.511,3.3,17.3
ARLS816L,FF,240,1501,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-4.881,0.508,3.4,17.4
ARLS816L,FF,250,2977,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-4.881,0.508,3.4,17.4
ARLS816L,FF,260,1366,0.0,1.0,0.0,0.0,24.18,-16.597,8.845,-4.368,0.497,3.8,17.8
