TYPE,ROUTE,SDD_SEQUENCE,OPERATION,OPERATION_DESC,ENTITY,MOR,SAMPLE_RATE,CT,SHIFT_START_WIP,GOAL_TYPE,TOTAL_GOAL,SUBCELL_INFO,PASS_WIP
UNIT,ARLS816L,190,2151,JLP2ERGO1,,,,0.0,0.0,IncomingWIP,2.779,,0.0
UNIT,ARLS816L,200,9668,PEVI-1T2T,,,,2.91,0.0,IncomingWIP,2.779,,0.0
UNIT,ARLS816L,210,2150,ERGO2JLP1,,,,0.58,0.0,IncomingWIP,2.105,,0.0
UNIT,ARLS816L,220,2090,DLAS,,10.4,100.0,11.35,10.967,LoadingPlan_no_goal,0.0,,0.0
UNIT,ARLS816L,230,1264,IHSAA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ARLS816L,240,1501,JEDEC-TPT1,,70.17,100.0,1.27,0.0,CleanWIP,0.0,,0.0
UNIT,ARLS816L,250,2977,HPO-HTS5,,,,2.06,1.568,CleanWIP,1.568,,0.0
UNIT,ARLS816L,260,1366,DLA-HPO,,7.33,100.0,4.46,0.0,IncomingWIP,1.299,,0.0
UNIT,ARLS816L,270,2978,HPO-HTS6,,,,0.12,0.0,IncomingWIP,0.816,,0.0
UNIT,ARLS816L,280,4992,JEDEC-TPT2,,63.82,100.0,0.25,0.0,IncomingWIP,0.808,,0.0
UNIT,ARLS816L,290,265,2D-XRAY,,48.95,100.0,3.85,4.144,IncomingWIP,4.935,,0.0
UNIT,ARLS816L,300,2172,TACS3,,19.64,100.0,3.74,1.568,IncomingWIP,4.92,,0.0
UNIT,ARLU281,20,1204,DIETCB,,16.5,105.0,2.0,15.152,LoadingPlan,10.894,,0.0
UNIT,ARLU281,30,5651,JEDEC-TPP1,,77.76,100.0,1.09,0.0,IncomingWIP,9.078,,0.0
UNIT,ARLU281,40,2004,JDFLX,,84.97,100.0,1.1,1.792,IncomingWIP,10.045,,0.0
UNIT,ARLU281,50,1225,EYUF,,17.94,100.0,4.2,55.857,IncomingWIP,30.0,,0.0
